Street Name,Record Count,Years,Amendment,Notes
159A-160,66,1936,,Investigate
23-23A,8,1927,,Investigate
35-35A,140,1927; 1936,,Investigate
Abbey Road,38,1946; 1950,,
Aberthaw Road,116,1897; 1905; 1914; 1938; 1946; 1950,,
Acacia Avenue,128,1927; 1933; 1936; 1938; 1946; 1950,,
Acacia Square,74,1927; 1933; 1936; 1938; 1946; 1950,,
Adam Street,51,1927,,
Adelaide Street,194,1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Adeline Street,570,1886; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Agincourt Street,365,1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Ailesbury Street,358,1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Albany Chambers,3,1905; 1938; 1946,,
Albany Road,1,1905,,Street is now St Vincent's Road. Add marker to St Vincent Road to indicate it used to be Albany Road.
Albany Street,509,1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Albany Terrace,49,1914; 1927; 1933; 1936,,
Albert Avenue,836,1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Albert Hall Chambers,1,1886,,
Albert Place,6,1876,,
Albert Street,160,1876; 1878; 1886; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Albert Terrace,201,1876; 1878; 1897; 1914; 1933; 1936; 1938; 1946; 1950,,
Albion Chambers,6,1886; 1905; 1927; 1938; 1946,,
Albion Street,357,1876; 1878; 1886; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Alderney Street,40,1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Alexandra Docks,355,1878; 1897; 1905; 1914; 1927; 1936; 1938; 1946; 1950,,
Alexandra Road,1022,1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
ALEXANDRA SCHOOL,31,1927,,
Alfred Street,133,1876; 1878; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Alice Street,490,1886; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
ALLT-Y-YN VIEW,28,1936,,
Allt-Yr-Yn Avenue,512,1927; 1933; 1936; 1938; 1946; 1950,,
Allt-Yr-Yn Close,310,1933; 1936; 1938; 1946; 1950,,
Allt-Yr-Yn Hospital,30,1936,,
Allt-Yr-Yn Road,447,1933; 1936; 1938; 1946; 1950,,
Allt-Yr-Yn View,212,1938; 1946; 1950,,
ALMA ST. BAPTIST CHURCH,74,1927,,
Alma Street,1103,1876; 1878; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Alma Street (Upper),4,1876,,
Alteryn,108,1878; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
Alteryn Road,18,1897; 1914,,
Alway Avenue,19,1946,,
Alway Close,25,1946; 1950,,
Alway Crescent,59,1946; 1950,,
Annesley Road,419,1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Aragon Street,64,1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Arcade,10,1933,,
Arcade (Late Fennell's),15,1933,,
Arcade (The),17,1876; 1886,,
ARCADE (THE),10,1878,,
Arcade Chambers,31,1876; 1878; 1927; 1933,,
ARCADE CHAMBERS—,21,1927,,
Arcades,79,1905; 1936; 1938,,
Arcadia Terrace,39,1927; 1933,,
Archibald Street,648,1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Argyle Street,290,1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Argyll Street,15,1897,,
Arlington Chambers,3,1905; 1938; 1946,,
Arlington Street,33,1897,,
Arlington Terrace,12,1933,,
Arthur Street,336,1886; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Artillery Place,37,1897; 1905; 1914; 1933; 1936; 1938; 1946,,
Arundel Road,190,1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Ashley Road,85,1933; 1936; 1938; 1946; 1950,,
Aston Crescent,401,1914; 1933; 1936; 1938; 1946; 1950,,
Athletic Club's Office,21,1927,,
Auckland Terrace,3,1905; 1938; 1946,,
Auckland Villas,90,1886; 1905; 1927; 1933; 1938; 1946,,
Austin Friars,45,1876; 1878; 1897; 1905; 1914; 1933; 1936; 1938; 1946,,
Austin Friars Chambers,2,1938; 1946,,
Austin Road,6,1897,,
B 5 & 6,15,1927,,Investigate
Badminton Road,131,1936; 1938; 1946; 1950,,
Bailey Street,596,1876; 1878; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Baldwin Street,900,1878; 1886; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Balmoral Road,593,1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Baltic Wharf,2,1933,,
Baneswell,26,1886; 1905; 1946,,
Baneswell (Part Of),9,1876,,
Baneswell Chambers,2,1938; 1946,,
Baneswell Road,285,1876; 1878; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Baneswell Square,10,1897,,
Bank Chambers,23,1876; 1878; 1886; 1905; 1938; 1946,,
Bank Street,149,1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
BAPTIST CHAPEL,17,1927,,
Barnard Street,185,1886; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
BARNARD TOWN SCHOOL,109,1927,,
Barrack Hill,834,1876; 1878; 1886; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Barrack Lane,59,1878; 1886; 1927; 1933,,
Barthropp Street,201,1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Bassaleg Road,205,1950,,
Bassalleg Road,551,1897; 1905; 1914; 1933; 1936; 1938; 1946,,
Batchelor Road,170,1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Bath Street,140,1886; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
BEAUFORT,2,1927,,
Beaufort Chambers,1,1905,,
Beaufort Place,86,1938; 1946; 1950,,
Beaufort Road,118,1936; 1938; 1946; 1950,,
Beaufort Terrace,6,1933,,
BEAUFORT TERRACE—,32,1936,,
Beaufort Wharf,11,1876,,
Bedford Road,398,1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Beecham Street,10,1946; 1950,,
Beechcroft Road,122,1936; 1938; 1946; 1950,,
Beechdale Road,186,1933; 1936; 1938; 1946; 1950,,
Beechfield Avenue,44,1946; 1950,,
Beechwood Crescent,166,1933; 1936; 1938; 1946; 1950,,
BEECHWOOD PARK,63,1927,,
Beechwood Road,268,1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Belle Vue Lane,2,1886; 1927,,
Belle Vue Terrace,12,1933,,
Belvedere Terrace,296,1876; 1878; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Belvidere Terrace,10,1886,,
Ben Jonson Way,8,1950,,
Beresford Road,56,1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Bettws Lane,13,1938; 1946; 1950,,
Bilston Street,44,1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Bishop Street,370,1878; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Bishopgate Parade,27,1876; 1878; 1886; 1897; 1905; 1914,,
BISHOPSGATE PARADE,4,1927,,
Bishopstow,3,1946,,
Bishpool,155,1950,,
Bishpool Lane,132,1950,,
Bishton Street,594,1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Blackett Avenue,20,1950,,
Blaen-Y-Pant Avenue,62,1936; 1938; 1946; 1950,,
Blaen-Y-Pant Cottages,5,1936; 1938,,
Blaen-Y-Pant Crescent,35,1938; 1946; 1950,,
Blaen-Y-Pant Place,37,1938; 1946; 1950,,
Blake Road,33,1938; 1946; 1950,,
Blenheim Road,211,1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Blewitt Street,700,1876; 1878; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Blewitt Terrace,22,1876; 1878; 1886,,
Bolt Street,413,1876; 1878; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
BOLT STREET SCHOOLS,25,1927,,
Bolton Place,3,1876,,
Bolton Road,194,1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Bolton Street,41,1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Bolton Terrace,16,1878; 1933,,
Bond Street,206,1897; 1905; 1914; 1927; 1933; 1938; 1946; 1950,,
Borough Chambers,4,1905; 1933; 1938; 1946,,
Boundary Road,7,1897,,
Boyle Close,6,1950,,
Bream Place,162,1886; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Brecon Road,66,1927; 1933; 1936; 1938; 1946; 1950,,
Brickyard Road,74,1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Bridge (The),3,1876,,
Bridge Street,1173,1876; 1878; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Bristol Street,660,1886; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Britannia Buildings,2,1886; 1933,,
Broad Street,103,1878; 1886; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Broseley Terrace,1,1886,,
Brown's Buildings,10,1933,,
BROWN’S BUILDINGS—,150,1927,,
Brunel Street,124,1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Brunswick Place,1,1946,,
Brynderwen Grove,26,1938; 1946; 1950,,
Brynderwen Road,277,1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Brynderwyn Road,12,1897,,
Brynglas Avenue,271,1927; 1933; 1936; 1938; 1946; 1950,,
Brynglas Crescent,118,1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Brynglas Orescent,9,1905,,
Brynglas Road,884,1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Bryngwyn Road,515,1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Brynhyfryd Avenue,169,1927; 1933; 1936; 1938; 1946; 1950,,
Brynhyfryd Road,180,1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Buckingham Crescent,79,1927; 1933; 1936; 1938; 1946; 1950,,
Buckingham Place,42,1933; 1936; 1938; 1946; 1950,,
Bungalows,36,1927; 1933,,
Burnford Road,26,1950,,
Burnfort Road,54,1936; 1938; 1946,,
Burns Close,11,1950,,
Burton Road,65,1946; 1950,,
Byrde Close,9,1950,,
C 4 17,9,1927,,Investigate
Caddock Street,1,1946,,
Cae Brynton Road,216,1933; 1936; 1938; 1946; 1950,,
Cae Perllan Road,331,1936; 1938; 1946; 1950,,
Cae Perllanm Road,1,1950,,
Caerau,11,1876,,
Caerau Crescent,193,1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Caerau Park,8,1878; 1886,,
Caerau Road,802,1878; 1886; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Caerleon Chambers,4339,1876; 1878; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
CAERLEON CHAMBERS,15,1927,,
Caldicot Street,159,1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
CALL OFFICE,48,1927,,
Calne Place,18,1933,,
Cambria Cottages,31,1886; 1933; 1936,,
Cambria Place,13,1905; 1927; 1933; 1936,,
Cambrian Road,305,1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Cambridge Avenue,1,1905,,
Cambridge Road,87,1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Camelot Place,91,1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Camperdown Road,49,1936; 1938; 1946; 1950,,
Canal Bank,11,1933,,
Canal Bank Cottages,28,1936; 1938; 1946; 1950,,
Canal Parade,487,1876; 1878; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Canal Street,150,1878; 1886; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Canal Terrace,95,1876; 1878; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
CANNON STREET,30,1878,,
Canon Street,309,1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Capel Crescent,767,1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Capel Street,735,1876; 1878; 1886; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Cardiff Road,1712,1876; 1878; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Cardigan Place,58,1933; 1936; 1938; 1946; 1950,,
Carey Road,21,1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Carisbrooke Road,256,1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Carlisle Place,96,1876; 1886; 1905; 1927; 1933; 1936; 1938; 1946,,
Carlisle Street,152,1886; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Carlton Chambers,3,1905; 1938; 1946,,
Carlton Road,188,1933; 1936; 1938; 1946; 1950,,
Carngethin Wharf,1,1933,,
Caroline Street,273,1878; 1886; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Carpenter's Arms Lane,3,1886; 1936,,
Cartwright Green,14,1950,,
Carysfort Street,1,1946,,
Castle Chambers,1,1933,,
Castle Precincts,30,1876; 1878; 1886; 1897; 1905; 1914; 1933,,
Castle Street,286,1876; 1878; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Caxton Place,110,1876; 1878; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Cedar Road,190,1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
CEMETERY LANE,9,1927,,
Cenfedd Street,64,1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Central Chambers,151,1927,,
Century Institute,39,1927,,
Chadwick Close,10,1950,,
Charles Street,378,1876; 1878; 1886; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Charlotte Street,219,1876; 1878; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Charnwood Road,43,1927; 1933; 1938; 1946; 1950,,
Chaucer Road,24,1933; 1938; 1946; 1950,,
Chelston Place,64,1897; 1905; 1914; 1927; 1933; 1938; 1946; 1950,,
Chepstow Road,3835,1876; 1878; 1897; 1905; 1914; 1927; 1933; 1938; 1946; 1950,,
Chestnut Avenue,282,1933; 1936; 1938; 1946; 1950,,
Christchurch Road,1762,1886; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Church Path,4,1897,,
Church Road,1431,1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
CHURCH ROAD (B.T.),27,1878,,
Church Street,321,1876; 1878; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Claremont Terrace,4,1933,,
Clarence Place,594,1878; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Clarence Street,458,1876; 1878; 1886; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Clayton Street,161,1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Clevedon Road,228,1914; 1927; 1933; 1936; 1938; 1946; 1950,,
CLEVEDON TERRACE,39,1927,,
Clifford Crescent,2,1876,,
Clifton Place,226,1876; 1878; 1886; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Clifton Road,132,1876; 1878; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Clifton Terrace,4,1876; 1886,,
Club Row,74,1876; 1878; 1886; 1897,,
Clyffard Crescent,323,1878; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
CLYFFARD CRESCENT. D 5,17,1927,,Removal of grid reference
Clytha Crescent,161,1876; 1878; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Clytha Park,97,1878; 1914; 1946,,
Clytha Park Road,312,1876; 1878; 1897; 1905; 1927; 1933; 1936; 1938; 1950,,
Clytha Square,504,1876; 1878; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Coldra Road,476,1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Coleridge Road,284,1933; 1936; 1938; 1946; 1950,,
Collier Street,160,1914; 1933; 1938; 1946; 1950,,
Collingwood Close,42,1938; 1946; 1950,,
Collingwood Road,98,1933; 1938; 1946; 1950,,
Collingwood Street,20,1914,,
Collins Close,8,1950,,
Colne Street,163,1914; 1933; 1938; 1946; 1950,,
Colston Avenue,102,1933; 1938; 1946; 1950,,
Colston Place,11,1938; 1946; 1950,,
Commercial Buildings,4,1876; 1933,,
Commercial Road,1851,1876; 1878; 1897; 1905; 1914; 1927; 1933; 1938; 1946; 1950,,
COMMERCIAL ROAD (CONTD.),42,1878,,
Commercial Street,2178,1876; 1878; 1897; 1905; 1914; 1927; 1933; 1938; 1946; 1950,,
Commercial Wharf,151,1876; 1878; 1886; 1897; 1905; 1914; 1933; 1938; 1946,,
Compton Terrace,9,1933,,
Congregational Church,15,1927,,
Constables Lane,23,1905; 1914; 1933; 1938; 1946; 1950,,
Constance Street,387,1897; 1905; 1914; 1933; 1938; 1946; 1950,,
Conway Croft,43,1933; 1938; 1946; 1950,,
Conway Road,940,1914; 1927; 1933; 1938; 1946; 1950,,
Conway Sac,49,1933; 1936; 1938; 1946; 1950,,
Coomassie Street,291,1878; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Coporation Yard,296,1927,,
Corelli Street,400,1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Cork Wharf,1,1933,,
Corn Exchange Chambers,1,1886,,
Corn Street,131,1876; 1878; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
CORNICK,41,1927,,Investigate
Cornwall Road,286,1933; 1936; 1938; 1946; 1950,,
Corporation Baths,40,1927,,
Corporation Road,2556,1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Corporation Yard,11,1933,,
Council Chambers,2,1905; 1933,,
Courtney Street,83,1933; 1936; 1938; 1946; 1950,,
Courtybella,86,1878; 1914; 1927; 1933,,
Courtybella Street,235,1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Courtybella Terrace,410,1878; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Coutybella Cottages,3,1933,,
Coutybella Street,66,1878; 1927,,
Coverack Road,262,1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Crawford Street,159,1927; 1933; 1936; 1938; 1946; 1950,,
Crescent Road,383,1886; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Crindau,2,1878; 1886,,
Crindau Road,118,1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Cromwell Road,771,1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Cross Hands Cottages,1,1933,,
Cross Lane,90,1897; 1905; 1914; 1927; 1933; 1936; 1938; 1950,,
Cross Street,97,1876; 1878; 1897,,
Crown Arcade,17,1946,,
Crown Street,231,1876; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Croydon Road,31,1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Cumberland Road,225,1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Curie Close,6,1950,,
Cyril Street,425,1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
D 3 PANT ROAD. B 4,35,1927,,Investigate
D 5 58,28,1927,,Investigate
D 5 6,12,1927,,Investigate
Dale Road,108,1946; 1950,,
Daniel Street,181,1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Darwin Drive,52,1950,,
David Street,296,1878; 1886; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Davy Close,14,1950,,
Dawley Street,140,1927; 1936,,
Dean Street,396,1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Delius Close,23,1950,,
Denbigh Road,242,1933; 1936; 1938; 1946; 1950,,
Depot Street,57,1878; 1886; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Devon Place,472,1876; 1886; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
DEVON PLACE (GOLD TOPS),34,1878,,
Devonshire Cottages,2,1933,,
Dewsland Park Road,498,1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Dewsland Road,8,1905,,
Dewston Street,2,1905,,
Dewstow Street,740,1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Diana Street,67,1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Dock (The Old),13,1897,,
Dock (The Town),122,1905; 1933; 1938; 1946,,
Dock (Town),12,1950,,
Dock Cottages,6,1933,,
Dock Parade,228,1878; 1886; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Dock Parade (Docks),30,1876,,
Dock Road Chambers,49,1886; 1905; 1936; 1938; 1946,,
Dock Street,2366,1876; 1878; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Docks (The),56,1876,,
Dolphin Street,858,1876; 1878; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Donnington Street,1,1936,,
Dorset Place,16,1886; 1933; 1936; 1938; 1946,,
Dorset Road,6,1927,,
Dos Cottages's Hill,8,1933,,
Dos Road,461,1876; 1878; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950,,
Dos Works Yar,1,1936,,
Downing Street,468,1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Drinkwater Gardens,51,1950,,
Duckpool Road,1441,1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
Duckpool Terrace,11,1933,,
Dudley Street,376,1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950,,
