Street Name,Record Count,Years,Amendment,Notes
159A-160,67,1936,,
23-23A,8,1927,,
35-35A,140,1927; 1936,,
Abbey Road,38,1946; 1950,,
Aberthaw Road,116,1897; 1905; 1914; 1938; 1946; 1950,,
Acacia Avenue,83,1933; 1938; 1946; 1950,,
ACACIA AVENUE,43,1927; 1936,Acacia Avenue,Auto-casing match
Acacia Square,50,1933; 1938; 1946; 1950,,
ACACIA SQUARE,24,1927; 1936,Acacia Square,Auto-casing match
ACACIA-AVENUE,4,1927,,
ADAM STREET,31,1927,,
Adelaide Street,179,1897; 1905; 1914; 1933; 1938; 1946; 1950,,
ADELAIDE STREET,15,1936,Adelaide Street,Auto-casing match
Adeline Street,442,1886; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
ADELINE STREET,128,1927; 1936,Adeline Street,Auto-casing match
Aginc0Urt Street,48,1946,,
Agincourt Street,239,1905; 1914; 1933; 1938; 1950,,
AGINCOURT STREET,78,1927; 1936,Agincourt Street,Auto-casing match
Ailesbury Street,319,1897; 1905; 1914; 1933; 1938; 1946; 1950,,
AILESBURY STREET,39,1936,Ailesbury Street,Auto-casing match
Albany Chambers,3,1905; 1938; 1946,,
Albany Road,1,1905,,
Albany Street,418,1897; 1905; 1914; 1933; 1938; 1946; 1950,,
ALBANY STREET,91,1927; 1936,Albany Street,Auto-casing match
Albany Terrace,19,1914; 1933,,
ALBANY TERRACE,30,1927; 1936,Albany Terrace,Auto-casing match
Albert Avenue,633,1897; 1905; 1914; 1933; 1938; 1946; 1950,,
ALBERT AVENUE,207,1927; 1936,Albert Avenue,Auto-casing match
Albert Hall Chambers,1,1886,,
Albert Place,6,1876,,
Albert Street,90,1876; 1886; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
ALBERT STREET,70,1878; 1936,Albert Street,Auto-casing match
Albert Terrace,158,1876; 1897; 1914; 1933; 1938; 1946; 1950,,
ALBERT TERRACE,43,1878; 1936,Albert Terrace,Auto-casing match
Albion Chambers,4,1886; 1905; 1938; 1946,,
ALBION CHAMBERS—,2,1927,,
Albion Street,313,1876; 1886; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
ALBION STREET,44,1878; 1936,Albion Street,Auto-casing match
Alderney Street,26,1905; 1914; 1933; 1938; 1946; 1950,,
ALDERNEY STREET,15,1927; 1936,Alderney Street,Auto-casing match
Alexandra Docks,238,1897; 1905; 1914; 1938; 1946; 1950,,
ALEXANDRA DOCKS,128,1878; 1927; 1936,Alexandra Docks,Auto-casing match
Alexandra Road,736,1897; 1905; 1914; 1933; 1938; 1946; 1950,,
ALEXANDRA ROAD,289,1927; 1936,Alexandra Road,Auto-casing match
ALEXANDRA SCHOOL,31,1927,,
ALEXANDRA SCHOOLS,21,1927,,
Alfred Street,96,1876; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
ALFRED STREET,37,1878; 1927; 1936,Alfred Street,Auto-casing match
Alice Street,347,1886; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
ALICE STREET,147,1927; 1936,Alice Street,Auto-casing match
ALLT-Y-YN VIEW,28,1936,,
Allt-Yr-Yn Avenue,391,1933; 1938; 1946; 1950,,
ALLT-YR-YN AVENUE,124,1927; 1936,Allt-Yr-Yn Avenue,Auto-casing match
Allt-Yr-Yn Close,237,1933; 1938; 1946; 1950,,
ALLT-YR-YN CLOSE,73,1936,Allt-Yr-Yn Close,Auto-casing match
ALLT-YR-YN HOSPITAL,30,1936,,
Allt-Yr-Yn Road,342,1933; 1938; 1946; 1950,,
ALLT-YR-YN ROAD,105,1936,Allt-Yr-Yn Road,Auto-casing match
Allt-Yr-Yn View,212,1938; 1946; 1950,,
Alma Street,953,1876; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
ALMA STREET,150,1878; 1927; 1936,Alma Street,Auto-casing match
Alma Street (Upper),4,1876,,
Alteryn,103,1897; 1905; 1914; 1933; 1938; 1946; 1950,,
ALTERYN,5,1878,Alteryn,Auto-casing match
Alteryn Road,18,1897; 1914,,
Alway Avenue,19,1946,,
Alway Close,25,1946; 1950,,
Alway Crescent,59,1946; 1950,,
Annesley Road,339,1897; 1905; 1914; 1933; 1938; 1946; 1950,,
ANNESLEY ROAD,80,1927; 1936,Annesley Road,Auto-casing match
Aragon Street,50,1897; 1905; 1914; 1933; 1938; 1946; 1950,,
ARAGON STREET,14,1927; 1936,Aragon Street,Auto-casing match
Arcade,10,1933,,
Arcade (Late Fennell's),15,1933,,
Arcade (The),17,1876; 1886,,
Arcade Chambers,12,1876; 1933,,
ARCADE CHAMBERS,19,1878; 1927,Arcade Chambers,Auto-casing match
ARCADE CHAMBERS—,21,1927,,
Arcades,69,1905; 1938,,
ARCADES,10,1936,Arcades,Auto-casing match
Arcadia Terrace,7,1933,,
ARCADIA TERRACE,32,1927,Arcadia Terrace,Auto-casing match
Archibald Street,499,1897; 1905; 1914; 1933; 1938; 1946; 1950,,
ARCHIBALD STREET,75,1936,Archibald Street,Auto-casing match
ARCHIBALD STREET. D 3,56,1927,,
Argyle Street,226,1905; 1914; 1933; 1938; 1946; 1950,,
ARGYLE STREET,39,1936,Argyle Street,Auto-casing match
ARGYLE STREET. B 4,25,1927,,
Argyll Street,15,1897,,
Arlington Chambers,3,1905; 1938; 1946,,
Arlington Street,33,1897,,
Arlington Terrace,12,1933,,
Arthur Street,278,1886; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
ARTHUR STREET,35,1936,Arthur Street,Auto-casing match
ARTHUR STREET. E 5,23,1927,,
Artillery Place,25,1897; 1905; 1914; 1933; 1938; 1946,,
ARTILLERY PLACE,12,1936,Artillery Place,Auto-casing match
Arundel Road,159,1905; 1914; 1933; 1938; 1946; 1950,,
ARUNDEL ROAD,31,1936,Arundel Road,Auto-casing match
Ashley Road,69,1933; 1938; 1946; 1950,,
ASHLEY ROAD,16,1936,Ashley Road,Auto-casing match
Aston Crescent,330,1914; 1933; 1938; 1946; 1950,,
ASTON CRESCENT,71,1936,Aston Crescent,Auto-casing match
ATHLETIC CLUB's OFFICE,21,1927,,
Auckland Terrace,3,1905; 1938; 1946,,
Auckland Villas,17,1886; 1905; 1933; 1938; 1946,,
AUCKLAND VILLAS—,73,1927,,
Austin Friars,36,1876; 1897; 1905; 1914; 1933; 1938; 1946,,
AUSTIN FRIARS,9,1878; 1936,Austin Friars,Auto-casing match
Austin Friars Chambers,2,1938; 1946,,
Austin Road,6,1897,,
B 5 & 6,15,1927,,
Badminton Road,118,1938; 1946; 1950,,
BADMINTON ROAD,13,1936,Badminton Road,Auto-casing match
Bailey Street,372,1876; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
BAILEY STREET,227,1878; 1927; 1936,Bailey Street,Auto-casing match
Baldwin Street,750,1886; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
BALDWIN STREET,148,1878; 1936,Baldwin Street,Auto-casing match
BALDWIN STREET. E 5,2,1927,,
Balmoral Road,421,1914; 1933; 1938; 1946; 1950,,
BALMORAL ROAD,172,1927; 1936,Balmoral Road,Auto-casing match
Baltic Wharf,2,1933,,
Baneswell,26,1886; 1905; 1946,,
Baneswell (Part Of),9,1876,,
Baneswell Chambers,2,1938; 1946,,
Baneswell Road,247,1876; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
BANESWELL ROAD,38,1878; 1936,Baneswell Road,Auto-casing match
Baneswell Square,10,1897,,
Bank Chambers,15,1876; 1886; 1905; 1938; 1946,,
BANK CHAMBERS,8,1878,Bank Chambers,Auto-casing match
Bank Street,126,1897; 1905; 1914; 1933; 1938; 1946; 1950,,
BANK STREET,23,1936,Bank Street,Auto-casing match
BAPTIST CHAPEL,17,1927,,
Barnard Street,147,1886; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
BARNARD STREET,38,1927; 1936,Barnard Street,Auto-casing match
BARNARD TOWN SCHOOL,111,1927,,
Barrack Hill,606,1876; 1886; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
BARRACK HILL,78,1878; 1927; 1936,Barrack Hill,Auto-casing match
Barrack Lane,43,1886; 1933,,
BARRACK LANE,17,1878; 1927,Barrack Lane,Auto-casing match
Barthropp Street,189,1905; 1914; 1933; 1938; 1946; 1950,,
BARTHROPP STREET,12,1936,Barthropp Street,Auto-casing match
Bassaleg Road,205,1950,,
Bassalleg Road,519,1897; 1905; 1914; 1933; 1938; 1946,,
BASSALLEG ROAD,32,1936,Bassalleg Road,Auto-casing match
Batchelor Road,143,1897; 1905; 1914; 1933; 1938; 1946; 1950,,
BATCHELOR ROAD,27,1936,Batchelor Road,Auto-casing match
Bath Street,122,1886; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
BATH STREET,18,1936,Bath Street,Auto-casing match
BEAUFORT,2,1927,,
Beaufort Chambers,1,1905,,
Beaufort Place,86,1938; 1946; 1950,,
Beaufort Road,99,1938; 1946; 1950,,
